ticker,shortName,longName,symbol,exchange,quoteType,currency,sector,industry,fullTimeEmployees,regularMarketPrice,previousClose,open,dayLow,dayHigh,fiftyTwoWeekLow,fiftyTwoWeekHigh,regularMarketVolume,averageVolume,averageVolume10days,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,beta,trailingEps,forwardEps,dividendRate,dividendYield,payoutRatio,profitMargins,grossMargins,operatingMargins,ebitdaMargins,revenueGrowth,earningsGrowth,totalRevenue,ebitda,recommendationKey,recommendationMean
INSM,Insmed Incorporated,Insmed Incorporated,INSM,NMS,EQUITY,USD,Healthcare,Biotechnology,1271.0,156.21,160.39,160.02,154.23,160.075,60.4,212.75,2506239,3128250,3271900,33315450880,32375597056.0,,-57.326244,35.119156,1.087,-6.19,-2.72493,,,0.0,-2.6482801,0.76541,-1.8360801,-2.18958,0.524,,447022016,-978790016,strong_buy,1.15
INTC,Intel Corporation,Intel Corporation,INTC,NMS,EQUITY,USD,Technology,Semiconductors,85100.0,45.085,54.305,46.82,44.45,48.13,17.67,54.6,294675401,97649900,171917640,225199554560,246896656384.0,,44.845078,1.9701537,1.354,-0.06,1.00535,,,0.0,-0.00505,0.36563998,0.051409997,0.23902,-0.041,,52852998144,12632999936,hold,2.85106
INTU,Intuit Inc.,Intuit Inc.,INTU,NMS,EQUITY,USD,Technology,Software - Application,18200.0,563.965,547.69,546.82,545.72,564.57,520.69,813.7,3274010,2000460,3130870,157007855616,,38.760483,21.323614,8.128991,1.254,14.55,26.44791,4.48,0.79,0.2967,0.21191,0.80728996,0.15697,0.30083,0.41,-0.185,19433000960,5846000128,buy,1.65714
ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",ISRG,NMS,EQUITY,USD,Healthcare,Medical Instruments & Supplies,,523.99,525.81,530.0,521.18,540.0,425.0,609.08,2206344,1835452,2325360,187838103552,176929947648.0,66.66539,46.105545,10.364956,1.672,7.86,11.36501,,,0.0,0.28375998,0.65996003,0.30155,0.35309,0.188,0.171,10064700416,3553766400,buy,2.05714
KDP,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.,KDP,NMS,EQUITY,USD,Consumer Defensive,Beverages - Non-Alcoholic,29000.0,27.765,27.545,27.535,27.46,27.85,25.03,36.12,9761463,15314980,11345570,37721059328,55828267008.0,23.935345,12.7919235,1.4895387,0.349,1.16,2.17051,0.92,3.31,0.7931,0.09781,0.54761004,0.23107,0.2658,0.107,0.083,16174000128,4298999808,buy,1.875
KLAC,KLA Corporation,KLA Corporation,KLAC,NMS,EQUITY,USD,Technology,Semiconductor Equipment & Materials,15000.0,1512.78,1500.0,1486.25,1451.82,1512.94,551.33,1581.34,1010484,1014332,1231050,199209730048,200172224512.0,47.61662,34.315,39.909775,1.444,31.77,44.0851,7.6,0.5,0.22620001,0.33828998,0.61294997,0.41661,0.44926998,0.13,0.208,12524316672,5626762240,buy,2.03226
KHC,The Kraft Heinz Company,The Kraft Heinz Company,KHC,NMS,EQUITY,USD,Consumer Defensive,Packaged Foods,36000.0,23.2,22.720001,22.68,22.67,23.24,21.985,33.35,14248178,16039367,16837740,27460808704,45647810560.0,,9.29912,0.6627057,0.065,-3.71,2.49486,1.6,6.9,0.7306,-0.1735,0.33735,0.17637,0.23867,-0.023,,25163999232,6006000128,hold,3.1
LRCX,Lam Research Corporation,Lam Research Corporation,LRCX,NMS,EQUITY,USD,Technology,Semiconductor Equipment & Materials,19400.0,217.94,220.7,217.87,213.8699,223.36,56.32,236.1,7734774,11467822,13423840,274829393920,271530082304.0,48.110374,36.85216,26.92279,1.779,4.53,5.9139,1.04,0.48,0.20969999,0.29657,0.49313,0.34354,0.35012,0.277,0.443,19591788544,6859485184,buy,1.72222
LIN,Linde plc,Linde plc,LIN,NMS,EQUITY,USD,Basic Materials,Specialty Chemicals,65489.0,451.57,445.64,443.065,443.065,451.98,387.78,486.38,1359538,2870711,2348340,211745488896,233746120704.0,30.205353,25.311184,5.460405,0.855,14.95,17.84073,6.0,1.33,0.39419997,0.21170999,0.48776,0.2794,0.39249,0.031,0.27,33504000000,13150000128,buy,1.55556
MAR,Marriott International,"Marriott International, Inc.",MAR,NMS,EQUITY,USD,Consumer Cyclical,Lodging,418000.0,319.7,321.67,318.97,316.69,320.7375,205.4,331.09,1058812,1578544,1624630,86785073152,102000066560.0,33.652634,27.961277,-27.612715,1.157,9.5,11.43367,2.68,0.84,0.2743,0.37984002,0.81554,0.65933996,0.66919,0.056,0.29,6873999872,4600000000,buy,2.25926
MRVL,"Marvell Technology, Inc.","Marvell Technology, Inc.",MRVL,NMS,EQUITY,USD,Technology,Semiconductors,7042.0,80.23,83.100006,81.15,79.72,82.02,47.09,121.81,13924585,17133896,14239570,69166284800,70106062848.0,28.250002,22.40905,4.8436375,1.945,2.84,3.58025,0.24,0.3,0.0845,0.31748,0.50708,0.17733999,0.31415,0.368,,7793299968,2448300032,buy,1.73333
MELI,"MercadoLibre, Inc.","MercadoLibre, Inc.",MELI,NMS,EQUITY,USD,Consumer Cyclical,Internet Retail,84207.0,2137.29,2153.75,2145.0,2100.31,2153.46,1723.9,2645.22,314015,548377,569840,108354584576,114165579776.0,52.078217,35.889576,17.348274,1.421,41.04,59.55183,,,0.0,0.0793,0.50356996,0.097720005,0.14752,0.395,0.061,26193000448,3864000000,strong_buy,1.42308
META,"Meta Platforms, Inc.","Meta Platforms, Inc.",META,NMS,EQUITY,USD,Communication Services,Internet Content & Information,78450.0,658.76,647.63,644.835,644.445,666.4899,479.8,796.25,22797723,19229411,16391160,1660422848512,1667034775552.0,29.148672,21.99078,8.557548,1.287,22.6,29.95619,2.1,0.32,0.091800004,0.30892,0.82013,0.40075,0.51937,0.262,-0.826,189458006016,98399002624,strong_buy,1.35821
MCHP,Microchip Technology Incorporat,Microchip Technology Incorporated,MCHP,NMS,EQUITY,USD,Technology,Semiconductors,19400.0,74.71,75.47,75.78,73.42,75.94,34.13,79.5,6413256,8822708,8391530,40376782848,45552680960.0,,28.567823,6.0303493,1.445,-0.46,2.61518,1.82,2.44,3.1772,-0.04394,0.54057,0.08347999,0.20719999,-0.02,-0.816,4212400128,872800000,buy,1.68
MU,"Micron Technology, Inc.","Micron Technology, Inc.",MU,NMS,EQUITY,USD,Technology,Semiconductors,53000.0,399.65,397.58,397.16,390.74,412.3861,61.54,412.43,28121313,28814350,35535640,449809776640,451984785408.0,38.02569,9.435381,7.6523185,1.503,10.51,42.35653,0.46,0.12,0.0437,0.28146,0.45308998,0.44974998,0.52548003,0.567,1.754,42311999488,22233999360,buy,1.60465
